[2026-02-02 22:53] Model: trial_1 | Dataset: sst2 | Acc: 0.6422 | F1-Macro: 0.5849
[2026-02-02 22:53] Model: trial_1 | Dataset: ag-news | Acc: 0.7703 | F1-Macro: 0.7723
[2026-02-02 22:53] Model: trial_1 | Dataset: mnli | Acc: 0.3656 | F1-Macro: 0.2642
[2026-02-02 23:17] Model: trial_7 | Dataset: sst2 | Acc: 0.6284 | F1-Macro: 0.5637
[2026-02-02 23:17] Model: trial_7 | Dataset: ag-news | Acc: 0.7479 | F1-Macro: 0.7495
[2026-02-02 23:17] Model: trial_7 | Dataset: mnli | Acc: 0.3836 | F1-Macro: 0.2963
[2026-02-02 23:33] Model: trial_12 | Dataset: sst2 | Acc: 0.6319 | F1-Macro: 0.5690
[2026-02-02 23:33] Model: trial_12 | Dataset: ag-news | Acc: 0.7492 | F1-Macro: 0.7510
[2026-02-02 23:33] Model: trial_12 | Dataset: mnli | Acc: 0.3802 | F1-Macro: 0.2909
[2026-02-02 23:48] Model: trial_17 | Dataset: sst2 | Acc: 0.6365 | F1-Macro: 0.5761
[2026-02-02 23:48] Model: trial_17 | Dataset: ag-news | Acc: 0.7297 | F1-Macro: 0.7310
[2026-02-02 23:48] Model: trial_17 | Dataset: mnli | Acc: 0.3856 | F1-Macro: 0.3000
[2026-02-02 23:51] Model: trial_18 | Dataset: sst2 | Acc: 0.6101 | F1-Macro: 0.5342
[2026-02-02 23:51] Model: trial_18 | Dataset: ag-news | Acc: 0.7528 | F1-Macro: 0.7543
[2026-02-02 23:51] Model: trial_18 | Dataset: mnli | Acc: 0.3853 | F1-Macro: 0.2994
[2026-02-03 00:00] Model: trial_21 | Dataset: sst2 | Acc: 0.6319 | F1-Macro: 0.5690
[2026-02-03 00:00] Model: trial_21 | Dataset: ag-news | Acc: 0.7407 | F1-Macro: 0.7419
[2026-02-03 00:00] Model: trial_21 | Dataset: mnli | Acc: 0.3846 | F1-Macro: 0.2982
[2026-02-03 00:03] Model: trial_22 | Dataset: sst2 | Acc: 0.6009 | F1-Macro: 0.5178
[2026-02-03 00:03] Model: trial_22 | Dataset: ag-news | Acc: 0.7376 | F1-Macro: 0.7388
[2026-02-03 00:03] Model: trial_22 | Dataset: mnli | Acc: 0.3986 | F1-Macro: 0.3220
[2026-02-03 00:09] Model: trial_24 | Dataset: sst2 | Acc: 0.6388 | F1-Macro: 0.5796
[2026-02-03 00:09] Model: trial_24 | Dataset: ag-news | Acc: 0.7314 | F1-Macro: 0.7326
[2026-02-03 00:09] Model: trial_24 | Dataset: mnli | Acc: 0.3809 | F1-Macro: 0.2918
[2026-02-03 00:13] Model: trial_25 | Dataset: sst2 | Acc: 0.6239 | F1-Macro: 0.5564
[2026-02-03 00:13] Model: trial_25 | Dataset: ag-news | Acc: 0.7345 | F1-Macro: 0.7356
[2026-02-03 00:13] Model: trial_25 | Dataset: mnli | Acc: 0.3891 | F1-Macro: 0.3061
[2026-02-03 00:22] Model: trial_28 | Dataset: sst2 | Acc: 0.6044 | F1-Macro: 0.5247
[2026-02-03 00:22] Model: trial_28 | Dataset: ag-news | Acc: 0.7278 | F1-Macro: 0.7287
[2026-02-03 00:22] Model: trial_28 | Dataset: mnli | Acc: 0.3987 | F1-Macro: 0.3222
[2026-02-03 00:31] Model: trial_31 | Dataset: sst2 | Acc: 0.6319 | F1-Macro: 0.5690
[2026-02-03 00:31] Model: trial_31 | Dataset: ag-news | Acc: 0.7366 | F1-Macro: 0.7377
[2026-02-03 00:31] Model: trial_31 | Dataset: mnli | Acc: 0.3860 | F1-Macro: 0.3006
[2026-02-03 00:37] Model: trial_33 | Dataset: sst2 | Acc: 0.6032 | F1-Macro: 0.5228
[2026-02-03 00:37] Model: trial_33 | Dataset: ag-news | Acc: 0.7095 | F1-Macro: 0.7105
[2026-02-03 00:37] Model: trial_33 | Dataset: mnli | Acc: 0.4033 | F1-Macro: 0.3301
[2026-02-03 00:56] Model: trial_39 | Dataset: sst2 | Acc: 0.6227 | F1-Macro: 0.5546
[2026-02-03 00:56] Model: trial_39 | Dataset: ag-news | Acc: 0.7197 | F1-Macro: 0.7205
[2026-02-03 00:56] Model: trial_39 | Dataset: mnli | Acc: 0.3962 | F1-Macro: 0.3184
[2026-02-03 01:02] Model: trial_41 | Dataset: sst2 | Acc: 0.6307 | F1-Macro: 0.5672
[2026-02-03 01:02] Model: trial_41 | Dataset: ag-news | Acc: 0.7364 | F1-Macro: 0.7376
