[2026-02-01 04:05] Model: trial_0 | Dataset: sst2 | Acc: 0.7030 | F1-Macro: 0.6728
[2026-02-01 04:05] Model: trial_0 | Dataset: ag-news | Acc: 0.9349 | F1-Macro: 0.9349
[2026-02-01 04:05] Model: trial_0 | Dataset: mnli | Acc: 0.4557 | F1-Macro: 0.4347
[2026-02-01 04:09] Model: trial_2 | Dataset: sst2 | Acc: 0.6835 | F1-Macro: 0.6459
[2026-02-01 04:09] Model: trial_2 | Dataset: ag-news | Acc: 0.9358 | F1-Macro: 0.9359
[2026-02-01 04:09] Model: trial_2 | Dataset: mnli | Acc: 0.4924 | F1-Macro: 0.4662
[2026-02-01 04:12] Model: trial_3 | Dataset: sst2 | Acc: 0.7133 | F1-Macro: 0.6858
[2026-02-01 04:12] Model: trial_3 | Dataset: ag-news | Acc: 0.9349 | F1-Macro: 0.9349
[2026-02-01 04:12] Model: trial_3 | Dataset: mnli | Acc: 0.4893 | F1-Macro: 0.4628
[2026-02-01 04:19] Model: trial_7 | Dataset: sst2 | Acc: 0.6445 | F1-Macro: 0.5900
[2026-02-01 04:19] Model: trial_7 | Dataset: ag-news | Acc: 0.9341 | F1-Macro: 0.9341
[2026-02-01 04:19] Model: trial_7 | Dataset: mnli | Acc: 0.4553 | F1-Macro: 0.4298
[2026-02-01 04:22] Model: trial_8 | Dataset: sst2 | Acc: 0.6170 | F1-Macro: 0.5454
[2026-02-01 04:22] Model: trial_8 | Dataset: ag-news | Acc: 0.9167 | F1-Macro: 0.9171
[2026-02-01 04:22] Model: trial_8 | Dataset: mnli | Acc: 0.5875 | F1-Macro: 0.5814
[2026-02-01 04:25] Model: trial_9 | Dataset: sst2 | Acc: 0.7638 | F1-Macro: 0.7492
[2026-02-01 04:25] Model: trial_9 | Dataset: ag-news | Acc: 0.9354 | F1-Macro: 0.9354
[2026-02-01 04:25] Model: trial_9 | Dataset: mnli | Acc: 0.4842 | F1-Macro: 0.4643
[2026-02-01 04:31] Model: trial_12 | Dataset: sst2 | Acc: 0.7626 | F1-Macro: 0.7476
[2026-02-01 04:31] Model: trial_12 | Dataset: ag-news | Acc: 0.9354 | F1-Macro: 0.9354
[2026-02-01 04:31] Model: trial_12 | Dataset: mnli | Acc: 0.5115 | F1-Macro: 0.4961
[2026-02-01 04:34] Model: trial_13 | Dataset: sst2 | Acc: 0.7374 | F1-Macro: 0.7168
[2026-02-01 04:34] Model: trial_13 | Dataset: ag-news | Acc: 0.9341 | F1-Macro: 0.9341
[2026-02-01 04:34] Model: trial_13 | Dataset: mnli | Acc: 0.4814 | F1-Macro: 0.4607
[2026-02-01 04:37] Model: trial_14 | Dataset: sst2 | Acc: 0.7856 | F1-Macro: 0.7747
[2026-02-01 04:37] Model: trial_14 | Dataset: ag-news | Acc: 0.9346 | F1-Macro: 0.9346
[2026-02-01 04:37] Model: trial_14 | Dataset: mnli | Acc: 0.5428 | F1-Macro: 0.5340
[2026-02-01 04:40] Model: trial_15 | Dataset: sst2 | Acc: 0.8108 | F1-Macro: 0.8036
[2026-02-01 04:40] Model: trial_15 | Dataset: ag-news | Acc: 0.9345 | F1-Macro: 0.9345
[2026-02-01 04:40] Model: trial_15 | Dataset: mnli | Acc: 0.5464 | F1-Macro: 0.5400
[2026-02-01 04:43] Model: trial_16 | Dataset: sst2 | Acc: 0.8234 | F1-Macro: 0.8177
[2026-02-01 04:43] Model: trial_16 | Dataset: ag-news | Acc: 0.9334 | F1-Macro: 0.9335
[2026-02-01 04:43] Model: trial_16 | Dataset: mnli | Acc: 0.5544 | F1-Macro: 0.5497
[2026-02-01 04:46] Model: trial_17 | Dataset: sst2 | Acc: 0.8165 | F1-Macro: 0.8101
[2026-02-01 04:46] Model: trial_17 | Dataset: ag-news | Acc: 0.9338 | F1-Macro: 0.9339
[2026-02-01 04:46] Model: trial_17 | Dataset: mnli | Acc: 0.5407 | F1-Macro: 0.5338
[2026-02-01 04:49] Model: trial_18 | Dataset: sst2 | Acc: 0.7959 | F1-Macro: 0.7868
[2026-02-01 04:49] Model: trial_18 | Dataset: ag-news | Acc: 0.9353 | F1-Macro: 0.9353
[2026-02-01 04:49] Model: trial_18 | Dataset: mnli | Acc: 0.5443 | F1-Macro: 0.5369
[2026-02-01 04:55] Model: trial_20 | Dataset: sst2 | Acc: 0.6846 | F1-Macro: 0.6475
[2026-02-01 04:55] Model: trial_20 | Dataset: ag-news | Acc: 0.9361 | F1-Macro: 0.9361
[2026-02-01 04:55] Model: trial_20 | Dataset: mnli | Acc: 0.5170 | F1-Macro: 0.4998
[2026-02-01 04:58] Model: trial_21 | Dataset: sst2 | Acc: 0.7833 | F1-Macro: 0.7721
[2026-02-01 04:58] Model: trial_21 | Dataset: ag-news | Acc: 0.9358 | F1-Macro: 0.9358
[2026-02-01 04:58] Model: trial_21 | Dataset: mnli | Acc: 0.4777 | F1-Macro: 0.4542
[2026-02-01 05:01] Model: trial_22 | Dataset: sst2 | Acc: 0.8108 | F1-Macro: 0.8038
[2026-02-01 05:01] Model: trial_22 | Dataset: ag-news | Acc: 0.9338 | F1-Macro: 0.9339
[2026-02-01 05:01] Model: trial_22 | Dataset: mnli | Acc: 0.5406 | F1-Macro: 0.5334
[2026-02-01 05:04] Model: trial_23 | Dataset: sst2 | Acc: 0.7936 | F1-Macro: 0.7842
[2026-02-01 05:04] Model: trial_23 | Dataset: ag-news | Acc: 0.9358 | F1-Macro: 0.9358
[2026-02-01 05:04] Model: trial_23 | Dataset: mnli | Acc: 0.5129 | F1-Macro: 0.5001
